Image,Name,Price,Rating
empty image url,Samsung Galaxy A04s 4GB/128GB25%Rp2.199.000Rp1.660.000Jakarta UtaraSamsung Official Store (214),Rp1.660.000,5
empty image url,XIAOMI REDMI 4A 2/16 2/32 GB GARANSI 1 TAHUNRp338.000Jakarta BaratMIUWSTORE (53),Rp338.000,5
empty image url,ADVAN smartphone NASA PRO 2GB/32GB Android 1151%Rp1.299.000Rp639.000Kab. TangerangAdvan Official Store (325),Rp639.000,5
empty image url,OPPO A78 8GB(+8GB)/256GB Smartphone (Garansi Resmi)7%Rp3.650.000Rp3.399.000TangerangOPPO OFFICIAL STORE (165),Rp3.399.000,5
empty image url,"Samsung Galaxy A04e 4/64GB 3/32GB Garansi Resmi SEIN A03 A04s A03s32%Rp1,49jtRp1.019.000Jakarta PusatOnestop Ponsel (401)",Rp1.019.000,5
empty image url,"ITEL Vision P40 [ 4/64GB ] Garansi Resmi 32%Rp1,29jtRp882.500Jakarta PusatScorpio Electro (25)",Rp882.500,5
empty image url,"Infinix Hot 30i 8/128 GB Garansi Resmi RAM Up To 16GB (Extended 8GB)12%Rp1,54jtRp1.368.000Jakarta BaratGH Shop Indonesia (555)",Rp1.368.000,5
empty image url,"Itel S23 S23+ 8/128 8/256 GB RAM 8 ROM 128 256 8GB 128GB 256GB20%Rp1,59jtRp1.282.000Jakarta PusatSUPER_GADGET (124)",Rp1.282.000,5
empty image url,"Xiaomi Redmi Note 12 Pro 5G 8/256 RAM 8GB ROM 256GB Garansi Resmi15%Rp4,59jtRp3.893.000Jakarta UtaraVote VIP (113)",Rp3.893.000,5
empty image url,New Infinix Hot 30 NFC 8+8/128 GB Garansi Resmi 2023 30i note pro 5gRp1.600.000Jakarta SelatanZeiL Store (116),Rp1.600.000,5
empty image url,"Redmi 12c22%Rp1,29jtRp1.016.000Jakarta Pusatjikalaku (391)",Rp1.016.000,5
empty image url,"Infinix Note 30 8/256 GB Garansi Resmi Helio G99 120Hz RAM up to 16GB16%Rp2,43jtRp2.049.000Jakarta BaratGH Shop Indonesia (406)",Rp2.049.000,5
empty image url,"Samsung Galaxy A04s 4/128 GB Garansi Resmi24%Rp2,09jtRp1.587.000Jakarta PusatGudang-HP (52)",Rp1.587.000,5
